"Time [ms]","InducedVoltage(Winding_A) [V] - Im='0A' speed_rpm='1000rpm'","InducedVoltage(Winding_A) [V] - Im='0A' speed_rpm='5000rpm'","InducedVoltage(Winding_A) [V] - Im='110A' speed_rpm='2865rpm'"
0,0.0300637537437798,0.150318768709936,6.10575171696083
0.048,,3.46113371859338,
0.0837696335078534,,,7.93193150017026
0.096,,6.77194866847682,
0.144,,9.61441589047974,
0.167539267015707,,,9.75811128337969
0.192,,12.694901980257,
0.24,0.692226743719225,15.9828278366218,
0.25130890052356,,,11.2438735926708
0.288,,18.4763517696571,
0.335078534031414,,,12.7671144362482
0.336,,19.8586924068983,
0.384,,21.0547043811085,
0.418848167539267,,,14.2916333061743
0.432,,22.2767025666957,
0.48,1.35438973369467,23.4712423696439,
0.50261780104712,,,14.9387058418605
0.528,,23.9700311247258,
0.576,,24.1526710858776,
0.586387434554974,,,14.7895092487973
0.624,,24.1395431358242,
0.670157068062827,,,14.7967923742676
0.672,,24.0531920175798,
0.72,1.92288317809709,23.7030495922352,
0.753926701570681,,,15.0846009554499
0.768,,22.6893126241171,
0.816,,21.409629621056,
0.837696335078534,,,15.0743010724221
0.864,,20.2539004432789,
0.912,,18.9552537250211,
0.921465968586388,,,14.4606217823403
0.96,2.53898039605228,16.8789363545951,
1.00523560209424,,,13.8781929969573
1.008,,13.7087061913839,
1.056,,10.5330019160773,
1.08900523560209,,,13.4119486238776
1.104,,7.60373773612138,
1.152,,4.59144820552034,
1.17277486910995,,,12.8425782049092
1.2,3.19656556732327,0.684483654184591,
1.248,,-3.50098461059079,
1.2565445026178,,,12.0983655270337
1.296,,-6.77224169902485,
1.34031413612565,,,10.955335599648
1.344,,-9.61539278731671,
1.392,,-12.6959301532474,
1.42408376963351,,,9.55998753403184
1.44,3.69527035393153,-15.9846714225981,
1.488,,-18.4786126707752,
1.50785340314136,,,8.1918589273155
1.536,,-19.8607540031344,
1.584,,-21.0564663384757,
1.59162303664921,,,6.90385401546047
1.632,,-22.2777872351024,
1.67539267015707,,,5.37778634364533
1.68,3.97173848137966,-23.4718103454949,
1.728,,-23.9707898277371,
1.75916230366492,,,3.54717250446837
1.776,,-24.1530111726739,
1.824,,-24.1401344034958,
1.84293193717278,,,1.61948958964549
1.872,,-24.0542617615815,
1.92,4.21094087622183,-23.7041042325737,
1.92670157068063,,,-0.533874424482506
1.968,,-22.6901452011096,
2.01047120418848,,,-2.67694339982155
2.016,,-21.4105156841945,
2.064,,-20.2552170648332,
2.09424083769634,,,-5.26375457570534
2.112,,-18.9567689654616,
2.16,4.45534051333886,-16.8799221750785,
2.17801047120419,,,-7.93201354083279
2.208,,-13.7094417221814,
2.256,,-10.5330004052852,
2.26178010471204,,,-9.7575793796563
2.304,,-7.60264666698924,
2.3455497382199,,,-11.2443628241877
2.352,,-4.58964475447371,
2.4,4.69424847392906,-0.682655826991606,
2.42931937172775,,,-12.7677855327902
2.5130890052356,,,-14.2930851904006
2.59685863874346,,,-14.9396835253673
2.64,4.79400622494542,,
2.68062827225131,,,-14.7896959213882
2.76439790575916,,,-14.7977312051418
2.84816753926702,,,-15.0853131569133
2.88,4.830534217175,,
2.93193717277487,,,-15.074780627687
3.01570680628272,,,-14.4614270529319
3.09947643979058,,,-13.8788687959835
3.12,4.82790862716474,,
3.18324607329843,,,-13.4125384028266
3.26701570680628,,,-12.8431217660332
3.35078534031414,,,-12.099161731337
3.36,4.81063840351573,,
3.43455497382199,,,-10.9558566330702
3.51832460732984,,,-9.56035096750326
3.6,4.74060991844722,,
3.6020942408377,,,-8.19242782618418
3.68586387434555,,,-6.90462716409423
3.7696335078534,,,-5.37826941027847
3.84,4.53786252482429,,
3.85340314136126,,,-3.54772933505745
3.93717277486911,,,-1.62025772062108
4.02094240837696,,,0.533886725522284
4.08,4.28192592420988,,
4.10471204188482,,,2.67724219484296
4.18848167539267,,,5.26532185466827
4.32,4.05078008865566,,
4.56,3.79105074500474,,
4.8,3.37578727091817,,
5.04,2.74174123827685,,
5.28,2.10660038321653,,
5.52,1.52074754722493,,
5.76,0.918289641104328,,
6,0.136896730835494,,
6.24,-0.700196922118339,,
6.48,-1.3544483398042,,
6.72,-1.92307855746328,,
6.95999999999999,-2.53918603064992,,
7.19999999999999,-3.19693428452004,,
7.43999999999999,-3.69572253415418,,
7.67999999999999,-3.97215080062677,,
7.91999999999999,-4.21129326769546,,
8.16,-4.4555574470192,,
8.4,-4.69436206910015,,
8.64,-4.79415796554751,,
8.88,-4.83060223453481,,
9.12,-4.82802688069904,,
9.36,-4.81085235231603,,
9.6,-4.74082084651426,,
9.84,-4.53802904022261,,
10.08,-4.28210313683867,,
10.32,-4.05104341296682,,
10.56,-3.79135379309278,,
10.8,-3.3759844350154,,
11.04,-2.7418883444361,,
11.28,-2.10660008105686,,
11.52,-1.52052933339776,,
11.76,-0.917928950894814,,
12,-0.136531165398035,,
